ID,Nombre,Equipo,Puntaje,Competencias
26,jhx,Immortals,47.61,16
13,huw,FlyQuest,36.64,14
78,neu,MAD Lions,69.65,7
8,xcc,Rogue,73.94,16
56,fyt,MAD Lions,88.92,16
97,tgb,Fnatic,7.31,20
49,jmq,Rogue,90.56,29
64,izj,Gen.G,43.71,38
5,sgn,Cloud9,3.36,27
58,lvl,Rogue,28.50,8
98,but,Fnatic,80.48,14
92,awm,Fnatic,3.36,20
2,wnx,G2 Esports,88.11,41
72,qkm,Hanwha Life Esports,71.26,43
88,stw,Hanwha Life Esports,92.84,1
4,pdu,FlyQuest,81.68,36
50,kki,FlyQuest,96.93,34
22,vzb,Rogue,80.36,35
95,awd,Sentinels,81.44,34
70,nrg,Sentinels,90.56,5
82,jol,G2 Esports,26.91,15
24,rle,Sentinels,20.42,40
61,ofg,Gen.G,80.13,8
86,kzi,Hanwha Life Esports,18.50,33
43,bad,Rogue,18.64,42
48,pas,Gen.G,83.65,12
36,wyd,Hanwha Life Esports,75.97,4
15,kmu,MAD Lions,86.68,38
75,hqw,G2 Esports,64.60,32
63,cjm,Rogue,32.84,43
80,jjc,Damwon Gaming,50.78,36
35,ujg,Sentinels,41.82,4
93,pzu,100 Thieves,87.52,35
38,jbp,Rogue,33.54,37
17,rvg,G2 Esports,3.12,11
28,hoj,FlyQuest,91.41,14
87,umg,Gen.G,48.32,22
89,ker,Fnatic,40.77,35
11,gdn,FlyQuest,34.09,38
27,vdg,Hanwha Life Esports,2.91,23
60,gsz,Gen.G,24.54,19
67,myf,G2 Esports,18.65,40
59,mnz,MAD Lions,11.73,26
55,rzu,MAD Lions,63.90,23
68,puk,FlyQuest,7.42,11
57,ifp,Rogue,61.38,12
10,bjt,MAD Lions,77.84,45
69,bpi,Damwon Gaming,6.22,5
33,und,Fnatic,35.67,44
85,ymw,Cloud9,23.88,25
74,frb,Rogue,47.19,10
53,neh,MAD Lions,87.17,45
47,coy,Sentinels,37.00,45
52,qli,Rogue,18.09,2
81,wcs,MAD Lions,34.98,23
51,pst,Hanwha Life Esports,91.91,24
39,pca,Immortals,25.57,21
16,hpb,Rogue,72.93,14
21,csh,100 Thieves,28.36,44
1,rko,100 Thieves,63.37,31
0,nuw,Immortals,83.10,9
99,hcp,Cloud9,21.45,42
66,vhp,100 Thieves,9.99,33
6,stn,Sentinels,29.22,28
71,nzn,Fnatic,39.10,22
44,hyl,G2 Esports,57.35,7
46,qqc,MAD Lions,6.26,17
73,ivm,T1,51.54,2
96,tpw,Cloud9,30.31,42
20,jed,Immortals,59.18,27
45,pqn,Hanwha Life Esports,87.09,38
84,bop,MAD Lions,60.00,29
18,jgn,Cloud9,33.80,23
3,yba,Immortals,8.94,29
62,ysx,Hanwha Life Esports,65.38,20
14,riy,Fnatic,47.47,19
37,dpl,Rogue,41.92,40
83,leo,100 Thieves,21.46,29
90,jay,100 Thieves,95.14,16
7,exc,Damwon Gaming,93.93,43
9,jtb,Rogue,34.74,2
12,ffe,Hanwha Life Esports,87.04,19
65,amh,Hanwha Life Esports,90.27,5
31,mwk,FlyQuest,3.23,20
19,sng,Immortals,28.93,24
25,pye,G2 Esports,18.01,16
54,jmj,Gen.G,3.28,26
34,qfw,FlyQuest,44.46,40
94,ghh,Hanwha Life Esports,37.24,8
76,zod,Rogue,31.23,34
30,sbs,Immortals,99.97,13
42,cfo,T1,42.18,4
32,zly,FlyQuest,25.79,41
40,jqc,Hanwha Life Esports,73.41,36
41,jkm,Sentinels,28.01,8
77,gmx,T1,82.52,26
29,aoa,Damwon Gaming,90.60,2
91,hch,Rogue,50.19,33
23,cik,Fnatic,28.54,22
79,dkg,Gen.G,55.85,7
